strongs,translit,bucket,final_gloss,final_source,review_flag,definition_es,dominant_gloss_share,occurrences,pct_running_tokens,tbesh_gloss,proposed_gloss,proposed_source,held_reason,rvr1960_db_form
H133,ad.ma.ta,proper-noun,Admata,defEs-name,,"Admata, un noble persa",1.000,1,0.0003,Admatha,Admatha,tbesh-en-placeholder,,Admata
H134,e.den,mechanical,base,definition_es-head,,"una base (de un edificio, una columna, etc.)",0.860,57,0.0187,socket,base,definition_es-head,,
H135,ad.dan,proper-noun,Adán,defEs-name,,"Adán (Addán), un israelita",1.000,1,0.0003,Addan,Addan,tbesh-en-placeholder,,
H136,a.do.nai,judgment,Señor,hand-divine,divine,el Señor (usado como nombre propio de Dios únicamente),1.000,440,0.1443,Lord,,,denylist,
H137,a.do.ni-ve.zeq,proper-noun,Adoni-bézec,defEs-name,,Adoni-bézec; un rey cananeo,0.500,6,0.0020,Adoni-bezek,Adoni-bezek,tbesh-en-placeholder,,Adoni-bezec
H138,a.do.niy.yah,proper-noun,Adonías,defEs-name,,"Adonías, el nombre de tres israelitas",1.000,26,0.0085,Adonijah,Adonijah,tbesh-en-placeholder,,Adonías
H139,a.do.ni-tse.deq,proper-noun,Adoni-sedec,defEs-name,,"Adoni-sedec, un rey cananeo",0.500,4,0.0013,Adoni-zedek,Adoni-zedek,tbesh-en-placeholder,,
H140,a.do.ni.qam,proper-noun,Adonicam,defEs-name,,"Adonicam, nombre de uno o dos israelitas",1.000,3,0.0010,Adonikam,Adonikam,tbesh-en-placeholder,,Adonicam
H141,a.do.ni.ram,proper-noun,Adoniram,defEs-name,,"Adoniram, un israelita",1.000,2,0.0007,Adoniram,Adoniram,tbesh-en-placeholder,,Adoniram
H142,a.dar,judgment,expandirse,definition_es-head,,"expandirse, es decir ser grande o (figurativamente) magnífico (glorioso)",0.667,3,0.0010,be glorious,,,no dominant sense (top 0.67),
H143,a.dar,proper-noun,Adar,defEs-name,,"Adar, el duodécimo mes hebreo",1.000,8,0.0026,Adar,Adar,tbesh-en-placeholder,,Adar
H144,a.dar,mechanical,"adar, el duodécimo mes hebreo",definition_es-head,,"(arameo) Adar, el duodécimo mes hebreo",1.000,1,0.0003,Adar,"adar, el duodécimo mes hebreo",definition_es-head,,
H145,e.der,judgment,amplitud,definition_es-head,,"amplitud, es decir (concretamente) un manto; también (figuradamente) esplendor",0.500,2,0.0007,robe,,,no dominant sense (top 0.50),
H146,ad.dar,proper-noun,Adar,defEs-name,,"Adar, un lugar en Palestina; también un israelita",0.500,2,0.0007,Addar,Addar,tbesh-en-placeholder,,Adar
H147,id.dar,mechanical,amplio,definition_es-head,,"(arameo) amplio, es decir una era (de trillar)",1.000,1,0.0003,threshing floor,amplio,definition_es-head,,
H148,a.dar.ga.zer,mechanical,juez,tbesh-map,,"(arameo) un adivino principal, o astrólogo",1.000,2,0.0007,judge,juez,tbesh-map,,
H149,ad.raz.da,mechanical,rápidamente o cuidadosamente,definition_es-head,,(arameo) rápidamente o cuidadosamente,1.000,1,0.0003,diligently,rápidamente o cuidadosamente,definition_es-head,,
H150,a.dar.kon,mechanical,"dárico, una moneda persa",definition_es-head,,"un dárico, una moneda persa",1.000,2,0.0007,dram,"dárico, una moneda persa",definition_es-head,,
H151,a.do.ram,proper-noun,Adoram,defEs-name,,"Adoram (o Adoniram), un israelita",1.000,2,0.0007,Adoram,Adoram,tbesh-en-placeholder,,Adoram
H152,a.de.ram.me.lekh,proper-noun,Adramelec,defEs-name,,"Adramelec, nombre de un ídolo asirio, también de un hijo de Senaquerib",1.000,3,0.0010,Adrammelech,Adrammelech,tbesh-en-placeholder,,Adramelec
H153,ed.ra,mechanical,brazo,definition_es-head,,"(arameo) un brazo, es decir (figuradamente) poder",1.000,1,0.0003,force,brazo,definition_es-head,,
H154,ed.re.i,proper-noun,Edrei,defEs-name,,"Edrei, el nombre de dos lugares en Palestina",1.000,8,0.0026,Edrei,Edrei,tbesh-en-placeholder,,Edrei
H155,ad.de.ret,judgment,algo amplio,definition_es-head,,"algo amplio (como una vid grande, una vestidura ancha), manto",0.833,12,0.0039,clothing,,,no dominant sense (top 0.83),
H157,a.hav,judgment,tener afecto por,definition_es-head,,tener afecto por (sea sexual o de otra índole),0.834,211,0.0692,to love,,,no dominant sense (top 0.83),
H158,a.hav,judgment,afecto,definition_es-head,,afecto (en buen o mal sentido),0.500,2,0.0007,lover,,,no dominant sense (top 0.50),
H159,o.hav,mechanical,afecto,definition_es-head,,afecto (en buen o mal sentido),1.000,1,0.0003,beloved,afecto,definition_es-head,,
H160,a.ha.vah,mechanical,amor,tbesh-map,,afecto (en buen o mal sentido),0.947,38,0.0125,love,amor,tbesh-map,,
H161,o.had,proper-noun,Ohad,defEs-name,,"Ohad, un israelita",1.000,2,0.0007,Ohad,Ohad,tbesh-en-placeholder,,Ohad
H162,a.hah,mechanical,ay,definition_es-head,,"¡Ay!, ¡Oh!",1.000,15,0.0049,alas!,ay,definition_es-head,,
H163,a.ha.va,proper-noun,Ahava,defEs-name,,"Ahava, un río de Babilonia",1.000,3,0.0010,Ahava,Ahava,tbesh-en-placeholder,,Ahava
H164,e.hud,proper-noun,Aod,defEs-name,,"Aod, el nombre de dos o tres israelitas",1.000,9,0.0030,Ehud,Ehud,tbesh-en-placeholder,,Aod
H165,e.hi,mechanical,dónde,tbesh-map,,¿dónde?,1.000,3,0.0010,where?,dónde,tbesh-map,,
H166,a.hal,mechanical,estar claro,definition_es-head,,estar claro,1.000,1,0.0003,to shine,estar claro,definition_es-head,,
H167,a.hal,judgment,acampar,definition_es-head,,acampar (plantar tienda),0.667,3,0.0010,to pitch,,,no dominant sense (top 0.67),
H168,o.hel,mechanical,tienda,tbesh-map,,una tienda / carpa (como claramente visible desde lejos),0.959,345,0.1131,tent,tienda,tbesh-map,,
H169,o.hel,proper-noun,Ohel,defEs-name,,"Ohel, un israelita",1.000,1,0.0003,Ohel,Ohel,tbesh-en-placeholder,,Ohel
H170,o.ho.lah,proper-noun,Aholá,defEs-name,,"Aholá, nombre simbólico de Samaria",1.000,5,0.0016,Oholah,Oholah,tbesh-en-placeholder,,Ahola
H171,o.ho.li.av,proper-noun,Aholiab,defEs-name,,"Aholiab, un israelita",1.000,5,0.0016,Oholiab,Oholiab,tbesh-en-placeholder,,Aholiab
H172,o.ho.li.vah,proper-noun,Aholibá,defEs-name,,"Aholibá, nombre simbólico de Judá",1.000,6,0.0020,Oholibah,Oholibah,tbesh-en-placeholder,,Aholiba
H173,o.ho.li.va.mah,proper-noun,Aholibama,defEs-name,,"Aholibama, una esposa de Esaú",1.000,8,0.0026,Oholibamah,Oholibamah,tbesh-en-placeholder,,Aholibama
H174,a.ha.lim,mechanical,madera de áloe,definition_es-head,,"madera de áloe (es decir, palos), áloes",1.000,4,0.0013,aloe,madera de áloe,definition_es-head,,
H175,a.ha.ron,proper-noun,Aarón,defEs-name,,"Aarón, el hermano de Moisés",1.000,347,0.1138,Aaron,Aaron,tbesh-en-placeholder,,Aarón
H176,o,mechanical,deseo,definition_es-head,,"deseo (y así probablemente en Proverbios 31:4); de ahí (como alternativa) o, ta…",1.000,320,0.1049,or,deseo,definition_es-head,,
